event-id,visible,timestamp,long,lat,location-error-text,sensor-type,individual-taxon-canonical-name,swallow_id,individual-local-identifier,study-name
2549644568,TRUE,26:29.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644569,TRUE,57:10.0,-58.47,-38.25,-38.7:-58.67:-38.25:-58.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644570,TRUE,18:59.0,-58.47,-38.25,-38.7:-58.67:-37.8:-56.75,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644571,TRUE,46:24.0,-54.16,-36,-39.15:-58.47:-31.95:-52.27,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644572,TRUE,56:32.0,-52.51,-33.3,-35.55:-54.16:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644573,TRUE,52:50.0,-52.74,-33.3,-34.65:-53.61:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644574,TRUE,46:32.0,-52.51,-33.3,-34.65:-53.55:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644575,TRUE,47:52.0,-52.51,-33.3,-34.65:-53.55:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644576,TRUE,41:32.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644577,TRUE,49:32.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644578,TRUE,48:45.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644579,TRUE,46:59.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644580,TRUE,46:29.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644581,TRUE,48:11.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644582,TRUE,44:28.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644583,TRUE,47:10.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644584,TRUE,43:44.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644585,TRUE,52:05.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644586,TRUE,37:44.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644587,TRUE,55:09.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644588,TRUE,42:11.0,-52.51,-33.3,-34.65:-53.31:-31.5:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644589,TRUE,51:24.0,-52.51,-33.3,-34.65:-53.31:-31.05:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644590,TRUE,39:49.0,-52.51,-33.3,-34.65:-53.31:-30.15:-52.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644591,TRUE,50:16.0,-52.51,-32.85,-34.65:-53.07:-26.55:-49.43,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644592,TRUE,16:40.0,-50.33,-29.25,-34.2:-52.8:-25.65:-49.02,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644593,TRUE,53:04.0,-50.11,-28.8,-34.2:-52.8:-25.65:-48.88,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644594,TRUE,47:53.0,-50.03,-28.35,-33.3:-52.2:-25.2:-48.88,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644595,TRUE,23:21.0,-50.03,-28.35,-31.95:-50.76:-25.2:-48.88,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644596,TRUE,47:43.0,-50.01,-28.35,-31.95:-50.68:-25.2:-48.73,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644597,TRUE,20:12.0,-49.99,-28.35,-31.5:-50.62:-25.2:-48.73,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644598,TRUE,49:32.0,-49.93,-28.35,-31.5:-50.62:-24.75:-48.73,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644599,TRUE,13:28.0,-49.93,-27.9,-30.6:-50.64:-18.9:-48.73,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644600,TRUE,54:32.0,-49.82,-26.55,-30.15:-50.64:-14.85:-47.93,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644601,TRUE,08:08.0,-49.88,-18.45,-29.25:-50.68:-14.85:-48.69,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644602,TRUE,02:50.0,-49.88,-18,-20.7:-50.68:-14.85:-49.56,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644603,TRUE,09:11.0,-49.88,-17.55,-20.25:-50.68:-14.85:-49.67,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644604,TRUE,59:08.0,-49.88,-17.55,-20.25:-50.67:-14.85:-49.67,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644605,TRUE,12:11.0,-49.88,-17.1,-20.25:-50.67:-14.85:-49.67,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644606,TRUE,03:04.0,-49.88,-17.1,-19.8:-50.67:-13.5:-49.67,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644607,TRUE,06:29.0,-49.88,-17.1,-19.8:-50.62:-13.05:-49.59,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644608,TRUE,59:58.0,-49.88,-17.1,-19.35:-50.62:-13.05:-49.56,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644609,TRUE,01:24.0,-49.88,-16.65,-19.35:-50.54:-11.25:-49.56,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644610,TRUE,56:03.0,-49.88,-16.65,-18.9:-50.48:-11.25:-49.45,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644611,TRUE,05:09.0,-49.88,-16.65,-18.9:-50.41:-11.25:-49.43,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644612,TRUE,51:32.0,-49.83,-16.2,-18.45:-50.03:-11.25:-49.2,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644613,TRUE,06:24.0,-49.88,-15.75,-18.45:-50.03:-11.25:-49.43,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644614,TRUE,03:45.0,-49.88,-15.75,-18.45:-50.11:-11.25:-49.43,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644615,TRUE,08:42.0,-49.88,-15.75,-18.45:-50.03:-11.25:-49.43,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644616,TRUE,57:44.0,-49.83,-16.2,-18.45:-50.03:-11.25:-49.43,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644617,TRUE,02:41.0,-49.83,-16.2,-18.45:-50.03:-11.25:-49.43,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644618,TRUE,01:32.0,-49.83,-15.75,-18.45:-50.03:-11.25:-49.37,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644619,TRUE,02:35.0,-49.83,-15.75,-18.45:-50.03:-11.25:-49.37,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644620,TRUE,02:44.0,-49.83,-15.75,-18.45:-50.03:-11.25:-49.37,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644621,TRUE,05:42.0,-49.83,-15.75,-18.45:-50.03:-11.25:-49.37,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644622,TRUE,55:18.0,-49.83,-15.75,-18.45:-50.03:-11.25:-49.37,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644623,TRUE,03:04.0,-49.88,-15.75,-18.45:-50.03:-11.25:-49.37,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
2549644624,TRUE,55:18.0,-49.88,-15.75,-18.45:-50.03:-11.25:-49.37,solar-geolocator,Hirundo rustica,H974,H974,Argentine Barn Swallows
